1.000000000000000000e+00,5.928446182250183272e-01
2.000000000000000000e+00,7.244963849217800345e-05
3.000000000000000000e+00,1.503810808555217093e-04
2.000000000000000000e+00,5.224180477279455684e-03
3.000000000000000000e+00,9.773148910927172972e-01
1.000000000000000000e+00,2.239918132638268888e-01
2.000000000000000000e+00,9.748268881126693763e-01
2.000000000000000000e+00,2.099178881283174092e-01
3.000000000000000000e+00,7.786705970525622522e-01
3.000000000000000000e+00,8.483057457966181047e-01
2.000000000000000000e+00,7.906404055810989373e-01
3.000000000000000000e+00,6.464130350875665343e-01
3.000000000000000000e+00,5.014926126171161958e-01
3.000000000000000000e+00,4.889037056170762452e-01
3.000000000000000000e+00,4.952103631187852462e-01
